Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
157	GO:0019748,GO:0006950,GO:0009607,GO:0009605,GO:0043933,GO:0006970,GO:0044085,GO:0009628,GO:0000302,GO:0071705,GO:0033036,GO:0036211,GO:0071702,GO:0009056,GO:0034660,GO:0000720,GO:0033554,GO:0048518,GO:0006468,GO:0071897,GO:0090305,GO:0090407,GO:0055086,GO:0006508,GO:0032774,GO:0032259,GO:0042538,GO:0006396,GO:0015074,GO:0034220,GO:0035556,GO:0071554,GO:0000272,GO:0016192,GO:0006260,GO:0048583,GO:0022900
159	GO:0009225,GO:0050793,GO:0033013,GO:0034660,GO:0032259,GO:0009056,GO:0006508,GO:0006720,GO:0048585,GO:0009966,GO:0023051,GO:0036211,GO:0006468,GO:0048507,GO:0010080,GO:0010015,GO:0009639,GO:0010075,GO:0071702,GO:0006950,GO:0035556,GO:0009607,GO:0006952,GO:0006575,GO:0016053,GO:0009791,GO:0090407,GO:0006396,GO:0044419,GO:0009605,GO:0009308,GO:0034220,GO:0009451,GO:0043207,GO:0006413,GO:0006996,GO:0006457,GO:0032774,GO:0140053,GO:0055086,GO:0009311,GO:0044085,GO:0048518,GO:0015979,GO:0065009,GO:0071554,GO:0060147,GO:0006351,GO:0043648,GO:0005996,GO:0006629,GO:0070085,GO:0044262,GO:0007166,GO:0042796,GO:0090305,GO:0006310,GO:0006357,GO:0071897,GO:0009060,GO:0009134,GO:0000160,GO:0031667,GO:2000112,GO:0042221,GO:0048519,GO:0015074,GO:0030029,GO:0006260,GO:0072523,GO:0042044,GO:0006302,GO:1901575,GO:0034470,GO:0051726
163	GO:0042221,GO:0080113,GO:0071702,GO:0042180,GO:0021575,GO:0022037,GO:0009056,GO:0015979,GO:0036211,GO:0006468,GO:0007017,GO:0006629,GO:0009698,GO:0008643,GO:0006357,GO:0006950,GO:0035556,GO:0006790,GO:0051173,GO:0031325,GO:2000026,GO:0010270,GO:0006260,GO:0104004,GO:0009314,GO:0006457,GO:0034220,GO:0044085,GO:0033036,GO:0065009,GO:0000097,GO:0009066,GO:0044272,GO:0000096,GO:0046653,GO:0071554,GO:0006396,GO:0071897,GO:0016192,GO:0006996,GO:0048519,GO:0061919,GO:0090414,GO:0034486,GO:0009888,GO:0009628,GO:0034660,GO:0090305,GO:0010136,GO:0006310,GO:0006413,GO:0006508,GO:0006400,GO:0009310,GO:0032774,GO:0032103,GO:0044262,GO:0005996,GO:0043933,GO:0006952,GO:0006325,GO:0006414
164	GO:0071702,GO:0071705,GO:0006508,GO:0036211,GO:0006950,GO:0032502,GO:0090305,GO:0006396,GO:0033076,GO:0044085,GO:0009056,GO:0006996,GO:0062211,GO:0019748,GO:0009699,GO:0006970,GO:0016053,GO:0009605,GO:0006974,GO:0006195,GO:0048519,GO:0031347,GO:0042221,GO:0034220,GO:0090407,GO:2000112
166	GO:0036211,GO:0009416,GO:0032774,GO:0104004,GO:0009791,GO:0090351,GO:0071478,GO:0006468,GO:0071702,GO:0033500,GO:0006396,GO:0055082,GO:1901701,GO:0006629,GO:0034220,GO:0006950,GO:0006508,GO:0048519,GO:0065009,GO:0044085,GO:2000683,GO:0006260,GO:0006357,GO:0120127,GO:1990641,GO:0034224,GO:0006413,GO:0098655,GO:0000388,GO:0009605,GO:0034976,GO:0006399,GO:0033036,GO:0042221,GO:0015074,GO:0010332,GO:0009411,GO:0071554,GO:0065008,GO:0019748,GO:0015979,GO:0006753,GO:0072524,GO:0006310,GO:0034728,GO:0006401,GO:0032502,GO:0055086,GO:0034660,GO:0006766,GO:0006790,GO:0032787,GO:0006996,GO:0031667,GO:1901137,GO:0090305,GO:1901605,GO:0009056,GO:0090407,GO:0032259,GO:0070887,GO:1990937,GO:0044262,GO:0016192,GO:0016053,GO:0071897,GO:0071103,GO:0009451,GO:0015980,GO:0006457,GO:0009894,GO:0042273,GO:0032196,GO:0048518,GO:0022622,GO:0006360,GO:0010035
167	GO:0036211,GO:0034220,GO:0009056,GO:0006950,GO:0032502,GO:0005996,GO:0015074,GO:0071702,GO:0044262,GO:0044275,GO:0006730,GO:0055086,GO:0009793,GO:1902182,GO:0006629,GO:0051246,GO:0090407,GO:0090305,GO:0006468,GO:0006396,GO:0009605,GO:0051641,GO:0044085,GO:0032774,GO:0006508,GO:0048519,GO:0006766,GO:0065009,GO:0044419,GO:0016053,GO:0048868,GO:0015979
168	GO:0009056,GO:0006950,GO:0071554,GO:0009620,GO:0098542,GO:0010555,GO:0036211,GO:0006468,GO:0071702,GO:0006413,GO:0097305,GO:0065009,GO:0048519,GO:0006996,GO:0071310,GO:0042221,GO:0022607,GO:0042440,GO:0044085,GO:0006629,GO:0034220,GO:0032774,GO:0016053,GO:0006457,GO:0032502,GO:0015074,GO:0006396,GO:0006400,GO:0051246,GO:0006325,GO:0055086,GO:0034660,GO:0090407
169	GO:0006950,GO:0006968,GO:0006629,GO:0065008,GO:0006577,GO:0071702,GO:0036211,GO:0016192,GO:0006820,GO:0044262,GO:0048519,GO:0048583,GO:0005996,GO:0034660,GO:0015980,GO:1901700,GO:0034220,GO:0006790,GO:0006996,GO:0055086,GO:0022900,GO:0010075,GO:0006268,GO:0006457,GO:0051246,GO:0006468,GO:0009892,GO:0006812,GO:0009056,GO:0006325
170	GO:0071702,GO:0055086,GO:1901137,GO:0090407,GO:0036211,GO:0006468,GO:0006950,GO:0007166,GO:0044419,GO:0009605,GO:0042762,GO:0061458,GO:0016553,GO:0003006,GO:0009790,GO:0044085,GO:0016053,GO:0032259,GO:0006457,GO:0000003,GO:0005996,GO:0090305,GO:0006790,GO:0065009,GO:0034660,GO:0006508,GO:0009892,GO:0010033,GO:0015074,GO:0009063,GO:0009056,GO:1901565,GO:0042180,GO:0048564,GO:0035556,GO:0016071,GO:0090503,GO:0006643,GO:0006298,GO:0030029,GO:0033554,GO:0006996,GO:0051649,GO:0007049,GO:0022900,GO:0032774
171	GO:0006396,GO:0009914,GO:0044085,GO:0009056,GO:0006950,GO:0031145,GO:0010564,GO:0090407,GO:0036211,GO:0006629,GO:0015074,GO:0044262,GO:1901605,GO:0016053,GO:0016051,GO:0032259,GO:0071702,GO:0051246,GO:0055086,GO:0009162,GO:0022607,GO:0006633,GO:0070727,GO:0070647,GO:0048235,GO:0016192,GO:0051641,GO:0006278,GO:0071897,GO:0006996,GO:0065009
