Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate
ERR5957071	Internode_Ex-5_37-weeks_Q157	ISR	75,536,306	70,589,268	6.55	98.2
ERR5888697	Internode_5_19-weeks_Q186	ISR	74,543,176	70,063,742	6.01	98.27
ERR5906386	Internode_5_19-weeks_Q186	ISR	78,035,396	73,749,686	5.49	98.44
ERR5914030	Internode_5_19-weeks_Q186	ISR	78,870,528	73,930,090	6.26	98.31
ERR5954116	Internode_5_37-weeks_Q186	ISR	64,176,926	53,560,494	16.54	98
ERR5976114	Internode_5_37-weeks_Q186	ISR	66,536,168	63,577,012	4.45	98.27
ERR5979485	Internode_5_37-weeks_Q186	ISR	58,481,330	38,767,204	33.71	97.75
ERR5881618	Internode_8_19-weeks_Q186	ISR	63,987,526	58,692,104	8.28	97.99
ERR5881980	Internode_8_19-weeks_Q186	ISR	75,366,534	70,227,986	6.82	98.07
ERR5903127	Internode_8_19-weeks_Q186	ISR	65,154,614	60,696,976	6.84	98.26
ERR5954238	Internode_8_37-weeks_Q186	ISR	68,572,542	62,347,826	9.08	97.87
ERR5976783	Internode_8_37-weeks_Q186	ISR	78,270,556	73,731,134	5.80	97.64
ERR5981344	Internode_8_37-weeks_Q186	ISR	62,664,308	56,048,088	10.56	97.98
ERR5954125	Internode_Ex-5_37-weeks_Q186	ISR	64,309,392	43,115,394	32.96	96.58
ERR5987085	Internode_Ex-5_37-weeks_Q186	ISR	67,288,592	59,565,564	11.48	96.63
ERR5987707	Internode_Ex-5_37-weeks_Q186	ISR	76,014,900	68,220,510	10.25	97.99
ERR5883595	Internode_5_19-weeks_Q200	ISR	64,232,444	60,602,362	5.65	99.14
ERR5890843	Internode_5_19-weeks_Q200	ISR	67,531,412	64,353,814	4.71	98.41
ERR5902481	Internode_5_19-weeks_Q200	ISR	70,028,032	65,903,492	5.89	98.27
ERR5956586	Internode_5_37-weeks_Q200	ISR	62,762,006	56,047,244	10.70	98.13
ERR5957090	Internode_5_37-weeks_Q200	ISR	76,687,786	71,818,896	6.35	98.19
ERR5969620	Internode_5_37-weeks_Q200	ISR	75,934,526	71,347,688	6.04	98
ERR5881779	Internode_8_19-weeks_Q200	IU	71,552,922	65,668,546	8.22	96.79
ERR5882032	Internode_8_19-weeks_Q200	ISR	74,436,286	70,395,442	5.43	98.32
ERR5902492	Internode_8_19-weeks_Q200	ISR	68,865,756	64,090,100	6.93	98.36
ERR5946264	Internode_8_37-weeks_Q200	ISR	83,312,624	78,733,812	5.50	98.08
ERR5954121	Internode_8_37-weeks_Q200	ISR	65,945,064	59,185,744	10.25	98.11
ERR5981711	Internode_8_37-weeks_Q200	ISR	76,196,380	68,961,124	9.50	98.09
ERR5948275	Internode_Ex-5_37-weeks_Q200	ISR	73,433,072	69,079,682	5.93	97.79
ERR5981714	Internode_Ex-5_37-weeks_Q200	IU	66,502,562	59,493,736	10.54	98.76
ERR5987777	Internode_Ex-5_37-weeks_Q200	ISR	68,591,348	61,796,268	9.91	97.58
ERR5881979	Internode_5_19-weeks_Q208	ISR	73,670,252	68,637,232	6.83	98.43
ERR5886249	Internode_5_37-weeks_Q208	ISR	69,146,808	65,711,226	4.97	98.135
ERR5916888	Internode_5_19-weeks_Q208	ISR	79,345,642	74,845,070	5.67	98.65
ERR5957065	Internode_5_19-weeks_Q208	ISR	74,223,046	69,077,446	6.93	97.93
ERR5969622	Internode_5_37-weeks_Q208	ISR	74,127,694	69,798,928	5.84	98.54
ERR5978457	Internode_5_37-weeks_Q208	ISR	78,758,348	70,347,598	10.68	98.32
ERR5884016	Internode_8_19-weeks_Q208	ISR	87,906,876	80,676,580	8.22	97.02
ERR5884037	Internode_8_19-weeks_Q208	ISR	78,641,974	73,605,928	6.40	98.3
ERR5902696	Internode_8_19-weeks_Q208	ISR	75,504,600	71,068,296	5.88	98.57
ERR5948279	Internode_8_37-weeks_Q208	ISR	68,088,368	63,221,342	7.15	97.85
ERR5948356	Internode_8_37-weeks_Q208	ISR	70,692,364	66,426,550	6.03	98.87
ERR5976806	Internode_8_37-weeks_Q208	ISR	56,429,170	50,134,102	11.16	97.97
ERR5950344	Internode_Ex-5_37-weeks_Q208	ISR	73,492,050	67,990,930	7.49	97.04
ERR5957069	Internode_Ex-5_37-weeks_Q208	IU	76,262,734	71,557,288	6.17	98.44
ERR5969623	Internode_Ex-5_37-weeks_Q208	ISR	68,819,580	62,846,136	8.68	98.15
ERR5884018	Internode_5_19-weeks_Q237	ISR	71,074,194	67,404,002	5.16	98.28
ERR5900087	Internode_5_19-weeks_Q237	ISR	68,573,460	65,862,262	3.95	99.27
ERR5906596	Internode_5_19-weeks_Q237	ISR	75,952,472	71,367,826	6.04	98.35
ERR5954124	Internode_5_37-weeks_Q237	ISR	68,499,718	55,428,376	19.08	98.26
ERR5956420	Internode_5_37-weeks_Q237	ISR	77,097,032	69,989,696	9.22	98.34
ERR5976346	Internode_5_37-weeks_Q237	ISR	82,418,786	79,106,626	4.02	98.29
ERR5881808	Internode_8_19-weeks_Q237	ISR	73,614,276	68,482,818	6.97	98.48
ERR5884013	Internode_8_19-weeks_Q237	IU	63,964,280	59,996,980	6.20	98.09
ERR5886322	Internode_8_19-weeks_Q237	ISR	63,507,144	58,697,582	7.57	97.81
ERR5956516	Internode_8_37-weeks_Q237	ISR	74,279,634	67,298,746	9.40	98.33
ERR5957073	Internode_8_37-weeks_Q237	ISR	71,567,830	68,260,432	4.62	98.30
ERR5981315	Internode_8_37-weeks_Q237	ISR	65,549,292	58,522,420	10.72	98.31
ERR5956571	Internode_Ex-5_37-weeks_Q237	ISR	78,148,382	70,590,954	9.67	98.02
ERR5986996	Internode_Ex-5_37-weeks_Q237	ISR	70,270,996	62,506,278	11.05	97.94
ERR5987469	Internode_Ex-5_37-weeks_Q237	ISR	67,154,592	60,179,774	10.39	97.85
ERR5884032	Internode_5_19-weeks_Q238	IU	64,200,656	58,979,370	8.13	96.88
ERR5884190	Internode_5_19-weeks_Q238	ISR	65,535,668	62,093,056	5.25	97.91
ERR5906605	Internode_5_19-weeks_Q238	ISR	67,186,114	62,982,274	6.26	98.98
ERR5927881	Internode_5_37-weeks_Q238	ISR	77,878,196	74,216,444	4.70	98.30
ERR5948456	Internode_5_37-weeks_Q238	IU	70,377,704	66,632,546	5.32	98.29
ERR5954113	Internode_5_37-weeks_Q238	ISR	55,433,138	47,358,474	14.57	98.24
ERR5881556	Internode_8_19-weeks_Q238	ISR	65,183,646	60,219,890	7.62	96.99
ERR5881831	Internode_8_19-weeks_Q238	ISR	63,152,408	57,582,904	8.82	98.44
ERR5890966	Internode_8_19-weeks_Q238	ISR	81,557,248	76,245,332	6.51	98.25
ERR5943487	Internode_8_37-weeks_Q238	ISR	81,873,326	76,513,860	6.55	98.95
ERR5948326	Internode_8_37-weeks_Q238	ISR	64,330,330	61,117,670	4.99	98.16
ERR5981343	Internode_8_37-weeks_Q238	IU	54,116,278	47,063,944	13.03	96.60
ERR5950349	Internode_Ex-5_37-weeks_Q238	ISR	81,503,872	23,785,726	70.82	98.20
