Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
3667	73	69	0	4
3676	29	23	2	4
3678	38	31	3	4
3679	47	37	9	1
3685	199	167	25	7
3687	29	16	2	11
3688	26	8	2	16
3690	59	47	0	12
3697	456	386	30	40
3698	25	12	0	13
3702	93	87	2	4
3704	19	7	6	6
3711	34	18	10	6
3713	46	33	6	7
3719	92	85	5	2
3720	38	25	0	13
3721	38	25	0	13
3727	90	83	0	7
3728	61	58	0	3
3729	36	33	2	1
3737	42	15	14	13
3738	28	22	5	1
3739	51	45	5	1
3740	30	24	5	1
3754	32	20	7	5
3771	3238	2687	189	362
3773	332	289	14	29
3777	453	224	88	141
3785	208	193	1	14
3793	49	39	5	5
3798	64	51	5	8
3804	156	144	4	8
3805	113	82	21	10
3809	108	96	8	4
3811	529	313	122	94
3813	1089	837	134	118
3814	122	109	2	11
3818	41	26	6	9
3819	34	24	1	9
3820	118	91	5	22
3821	46	37	4	5
3826	1091	719	208	164
3832	136	115	13	8
3852	32	30	0	2
3855	143	102	31	10
3860	245	217	15	13
3861	50	49	0	1
3862	224	192	20	12
3863	175	157	6	12
3866	187	141	14	32
3874	198	167	4	27
3886	301	244	2	55
3902	247	206	14	27
3910	192	164	2	26
3917	453	331	17	105
3918	660	523	85	52
3922	55	40	11	4
3933	195	153	8	34
3934	171	129	8	34
3935	207	174	8	25
3936	197	183	5	9
3937	164	140	2	22
3938	246	200	13	33
3942	503	425	6	72
3947	810	651	20	139
3952	83	77	0	6
3953	67	61	0	6
3955	462	340	27	95
3956	213	189	11	13
3958	271	223	23	25
3964	306	238	24	44
3966	269	237	4	28
3970	268	233	10	25
3973	172	144	12	16
3974	291	251	11	29
3977	200	157	17	26
3980	277	252	14	11
3981	114	77	13	24
3983	150	139	8	3
3984	282	206	36	40
3991	115	76	8	31
3993	217	186	8	23
3997	30	26	0	4
3998	124	107	14	3
4003	115	101	2	12
4004	90	79	2	9
4005	292	264	9	19
4008	66	52	4	10
4009	79	71	0	8
4014	274	194	37	43
4015	145	123	19	3
4019	119	109	1	9
4021	99	73	2	24
4022	248	126	85	37
4026	275	163	33	79
4031	118	105	6	7
4035	110	72	10	28
4038	128	118	5	5
4047	112	108	1	3
4048	248	224	12	12
4052	245	181	21	43
4058	69	65	2	2
4059	170	146	5	19
4062	148	133	1	14
4066	122	106	9	7
4080	39	34	3	2
4081	47	36	0	11
4082	105	101	2	2
4086	68	66	0	2
4103	72	66	2	4
4112	171	143	10	18
4126	41	27	1	13
4127	601	453	15	133
4128	467	385	9	73
4131	13	4	1	8
4132	181	101	58	22
4142	153	141	0	12
4143	14	5	6	3
4144	14	5	6	3
4145	53	39	8	6
4154	24	16	0	8
4162	33	31	0	2
4164	87	86	0	1
4170	27	18	0	9
4175	96	86	1	9
4176	77	73	1	3
4183	22	16	0	6
4186	45	43	0	2
4189	91	80	2	9
4190	76	55	1	20
4218	56	33	0	23
4220	55	24	19	12
4226	145	69	51	25
4227	145	69	51	25
4229	21	17	0	4
4235	66	58	5	3
4236	103	93	1	9
4238	85	72	2	11
4241	29	15	11	3
4242	16	6	9	1
4249	146	137	1	8
4258	124	121	2	1
4260	76	65	2	9
4264	74	64	1	9
4271	22	17	2	3
4272	385	320	11	54
4273	75	66	0	9
4276	347	258	9	80
4281	55	43	0	12
4283	136	114	11	11
4284	40	37	2	1
4291	19	11	0	8
4294	154	145	5	4
4299	117	96	3	18
4300	84	59	10	15
4304	334	290	17	27
4307	38	29	5	4
4308	97	90	3	4
4309	97	90	3	4
4310	91	79	9	3
4311	61	45	2	14
4312	54	46	0	8
4314	94	84	0	10
4316	48	36	5	7
4319	99	64	8	27
4322	64	50	2	12
4324	30	25	2	3
4325	30	25	2	3
4326	101	78	15	8
4327	193	158	12	23
4328	92	89	0	3
4335	44	40	3	1
4344	81	71	4	6
4345	107	88	1	18
4346	99	94	0	5
4348	52	50	0	2
4349	54	40	1	13
4351	64	62	0	2
4357	41	38	0	3
4358	89	79	0	10
4359	125	73	11	41
4362	123	87	23	13
4363	124	87	24	13
4369	55	38	13	4
4370	21	13	7	1
4372	119	82	17	20
4373	22	20	0	2
4374	81	41	31	9
4375	68	28	31	9
4377	74	67	5	2
4380	51	46	0	5
4381	21	16	0	5
4383	31	23	0	8
4384	24	23	0	1
4387	100	91	0	9
4392	42	38	2	2
4397	52	32	10	10
4398	38	29	1	8
4399	64	60	0	4
4400	122	109	4	9
