Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
6372	6	1	4	1
6374	6	5	0	1
6375	6	3	0	3
6377	6	2	3	1
6379	6	4	1	1
6380	7	1	2	4
6383	5	3	1	1
6384	8	6	0	2
6401	5	3	1	1
6407	2	1	0	1
6408	7	3	1	3
6409	6	2	3	1
6410	7	2	3	2
6417	8	1	3	4
6426	9	5	3	1
6428	7	5	0	2
6429	8	4	3	1
6433	8	2	4	2
6436	7	3	1	3
6438	7	6	0	1
6443	10	7	2	1
6449	5	3	1	1
6453	12	9	1	2
6456	9	6	1	2
6459	10	6	3	1
6460	10	2	6	2
6462	9	1	5	3
6463	9	6	2	1
6464	11	6	3	2
6473	10	7	1	2
6475	12	4	2	6
6478	10	7	2	1
6479	11	4	3	4
6490	3	2	0	1
6491	12	7	0	5
6493	11	6	2	3
6494	12	7	3	2
6507	5	4	0	1
6508	14	7	3	4
6509	15	9	5	1
6513	14	6	2	6
6514	5	3	0	2
6515	20	13	4	3
6526	7	6	0	1
6531	19	5	8	6
6532	14	12	1	1
6541	20	12	5	3
6546	5	3	1	1
6548	20	8	6	6
6549	15	10	1	4
6556	20	10	5	5
6558	24	12	8	4
6566	24	11	6	7
6568	35	18	10	7
6570	36	15	5	16
6571	40	18	13	9
6572	31	12	11	8
6574	37	24	10	3
6576	45	13	13	19
6577	45	24	9	12
6579	56	41	7	8
6581	65	20	24	21
6582	73	37	26	10
6631	4	2	1	1
6638	6	3	1	2
6640	6	4	1	1
6656	7	3	0	4
6657	11	8	2	1
6658	11	7	3	1
6659	9	5	1	3
6660	12	7	3	2
6661	11	7	2	2
6662	18	11	3	4
6663	17	9	1	7
6664	18	12	5	1
6665	24	12	8	4
6666	25	15	9	1
6667	27	13	10	4
6668	28	14	9	5
6669	34	14	11	9
6670	38	18	11	9
6671	40	26	8	6
6672	48	22	13	13
6673	50	19	13	18
6674	64	32	16	16
6675	71	36	14	21
6676	80	31	20	29
6677	97	54	22	21
6678	98	45	22	31
6679	107	53	28	26
6680	129	78	19	32
6681	160	71	51	38
6682	181	79	63	39
6683	185	85	57	43
6684	203	108	54	41
6685	192	104	43	45
6686	198	109	34	55
6687	265	117	70	78
6741	18	4	6	8
6742	125	66	28	31
6743	5	3	1	1
6744	15	7	7	1
6745	16	8	4	4
6747	22	12	6	4
6748	22	12	5	5
6750	13	9	3	1
6751	31	12	7	12
6752	30	27	0	3
6753	37	22	7	8
6754	46	23	14	9
6755	62	39	10	13
6756	70	46	11	13
6757	137	66	35	36
6758	283	143	72	68
6768	8	6	1	1
6771	3	1	1	1
6774	3	2	0	1
6780	3	1	1	1
6804	116	77	13	26
6833	37	19	11	7
6845	4	2	0	2
6871	7	5	0	2
6873	2	1	0	1
6886	2	1	0	1
6889	5	4	0	1
6903	46	33	6	7
6904	41	27	9	5
6905	26	20	2	4
6910	7	2	3	2
6919	8	6	1	1
6921	7	6	0	1
6922	4	2	1	1
6933	9	7	0	2
6947	4	1	1	2
6954	132	87	21	24
6957	78	41	22	15
6961	64	31	13	20
6962	29	20	6	3
6967	22	10	9	3
6970	2	1	0	1
6971	6	2	3	1
6972	6	2	0	4
6976	15	5	4	6
6977	5	2	2	1
6978	16	11	1	4
6981	12	7	3	2
6985	3	1	1	1
6997	11	3	7	1
7008	2	1	0	1
7014	5	2	1	2
7016	4	2	1	1
7017	2	1	0	1
7023	3	1	1	1
7032	28	19	1	8
7034	2	1	0	1
7047	3	1	1	1
7049	2	1	0	1
7052	3	1	0	2
7055	3	2	0	1
7070	3	1	1	1
7089	6	2	3	1
7122	2	1	0	1
7129	372	194	101	77
7130	31	19	6	6
7131	2	1	0	1
7134	50	23	11	16
7138	16	6	9	1
7139	4	3	0	1
7143	11	7	1	3
7147	6	4	1	1
7149	7	2	3	2
7154	49	42	1	6
7155	32	24	3	5
7162	5	4	0	1
7166	5	4	0	1
7168	4	3	0	1
7171	5	4	0	1
7191	16	11	2	3
7192	15	9	3	3
7193	7	4	1	2
7195	430	228	99	103
7196	4	1	1	2
7197	16	6	6	4
7198	13	5	5	3
7199	15	7	4	4
7201	14	3	3	8
7202	13	5	5	3
7204	12	5	4	3
7205	10	6	3	1
7206	9	3	4	2
7207	11	4	5	2
7209	9	2	5	2
7210	10	6	3	1
7213	4	1	2	1
7214	13	9	2	2
7216	6	5	0	1
7217	7	5	0	2
7218	4	2	0	2
7223	87	45	29	13
7224	32	15	9	8
7225	33	20	11	2
7227	29	9	8	12
7228	12	6	4	2
7230	331	178	68	85
7231	233	137	44	52
7232	160	87	35	38
7233	78	48	16	14
7234	23	12	6	5
7235	18	7	4	7
7236	20	9	8	3
7237	16	8	3	5
7238	13	6	5	2
7239	14	8	4	2
7240	13	5	4	4
7241	12	5	3	4
7242	8	5	0	3
