Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
2824	1	0	1	0	0
2832	8	0	4	3	1
2837	8	2	2	0	4
2841	8	0	7	0	1
2843	8	2	5	1	0
2845	5	0	4	1	0
2849	5	1	3	0	1
2850	7	0	4	1	2
2866	8	0	6	2	0
2868	14	4	3	4	3
2869	8	1	2	3	2
2872	10	0	5	2	3
2890	7	0	5	2	0
2894	5	1	1	2	1
2899	8	0	6	1	1
2900	1	0	1	0	0
2904	2	0	2	0	0
2908	1	0	1	0	0
2912	13	0	4	2	7
2916	8	0	7	1	0
2921	10	1	3	3	3
2927	9	2	4	0	3
2938	7	0	4	1	2
2949	9	2	2	2	3
2983	2	0	0	1	1
2988	9	2	4	1	2
2998	10	5	2	0	3
3001	12	0	8	2	2
3010	2	0	2	0	0
3011	4	0	2	0	2
3018	3	0	2	0	1
3021	9	0	7	1	1
3026	9	0	8	0	1
3028	11	0	8	1	2
3029	2	0	2	0	0
3031	4	0	4	0	0
3032	29	0	24	1	4
3044	4	0	1	2	1
3052	36	0	26	4	6
3056	5	0	2	1	2
3061	51	0	41	4	6
3062	22	1	11	4	6
3063	9	1	6	2	0
3064	1	0	0	1	0
3065	9	0	5	2	2
3066	6	0	6	0	0
3067	7	0	7	0	0
3070	2	0	1	1	0
3074	9	0	6	1	2
3075	12	0	10	0	2
3076	4	1	2	1	0
3077	10	0	8	0	2
3079	7	1	4	1	1
3080	5	0	5	0	0
3081	9	1	5	1	2
3084	14	2	8	3	1
3085	13	1	11	1	0
3086	12	0	8	2	2
3087	10	0	9	0	1
3088	11	1	7	0	3
3089	19	0	14	1	4
3090	20	1	12	2	5
3091	23	0	20	1	2
3093	23	0	19	2	2
3099	9	0	7	0	2
3100	15	0	12	0	3
3101	17	0	10	3	4
3102	15	1	11	1	2
3105	29	2	17	3	7
3106	4	0	3	1	0
3107	27	2	17	6	2
3108	36	0	23	3	10
3111	36	0	30	2	4
3113	49	0	43	2	4
3115	46	1	36	2	7
3118	41	1	30	2	8
3119	52	1	34	12	5
3121	37	1	25	6	5
3122	65	1	51	4	9
3125	10	0	7	1	2
3129	52	4	36	2	10
3130	89	4	70	4	11
3136	154	5	109	7	33
3137	250	9	181	17	43
3138	11	0	6	3	2
3140	12	0	3	3	6
3142	1	1	0	0	0
3145	1	0	1	0	0
3146	11	3	4	1	3
3152	2	0	2	0	0
3157	2	0	1	0	1
3158	6	0	4	0	2
3167	11	0	5	0	6
3170	11	0	3	4	4
3172	1	0	0	1	0
3174	6	0	6	0	0
3187	1	0	1	0	0
3189	1	0	1	0	0
3204	2	0	1	0	1
3205	15	2	6	3	4
3206	1	0	1	0	0
3211	19	2	7	2	8
