Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
1295	GO:0036211,GO:0006325,GO:0044085
1296	GO:0036211,GO:0006996,GO:0065008,GO:0071702,GO:0071705,GO:0055086,GO:0016053
1297	GO:0009605,GO:0006950,GO:0048583,GO:0030029
1299	GO:0006996,GO:0044085
1300	GO:0071702,GO:0032196,GO:0006950,GO:0032774
1302	GO:0006468,GO:0006950,GO:0006457,GO:0036211,GO:0006508,GO:0090407,GO:0051641,GO:0016051
1303	GO:0062125,GO:0048467,GO:0006817,GO:0018193,GO:0044085,GO:0006950
1304	GO:0001676,GO:0006790,GO:0036211,GO:0006629,GO:0007017
1306	GO:0000003,GO:0036211,GO:0006468,GO:0002181
1307	GO:0006950,GO:0071702
1308	GO:0034470,GO:0019761
1309	GO:0006950,GO:0005996,GO:0044282,GO:0006468,GO:0071669,GO:0071702,GO:0036211,GO:0006457,GO:0051641,GO:0009056
1310	GO:0044085,GO:0006508
1311	GO:0051641,GO:0006260,GO:0090501,GO:0048518,GO:0016477,GO:0030030,GO:0048870,GO:0006508,GO:0055086,GO:0061024,GO:0022900,GO:0044085,GO:0006950,GO:0006996,GO:0036211,GO:0042221,GO:0090407,GO:0006396
1312	GO:0006950,GO:0000165,GO:0009892,GO:0015979,GO:1905784,GO:0042221,GO:0036211
1313	GO:0036211,GO:0010229,GO:0071705,GO:0071897
1315	GO:0048519,GO:0009894,GO:0036211,GO:0090407,GO:0071702,GO:0034220,GO:0006457,GO:0050832,GO:0006950,GO:0009605,GO:0042221
1316	GO:0015980,GO:0009057,GO:0090407,GO:0042221,GO:0071702,GO:0036211,GO:0048518,GO:0044085,GO:0010383,GO:0032502,GO:0018205,GO:0008213,GO:0005996,GO:0035556,GO:0055086,GO:0009056,GO:1901575,GO:1901605
1317	GO:0071702,GO:0071554,GO:0044085,GO:0044262,GO:0035383,GO:0006629,GO:0034032,GO:0006790,GO:0006644,GO:0005976,GO:0006310,GO:0036211,GO:0032502,GO:0006396,GO:0034220,GO:0065008,GO:0009056,GO:0016192
1318	GO:0006950,GO:0032774,GO:0006996,GO:0008610,GO:0090407,GO:0032259
1319	GO:0036211,GO:0009056,GO:0006396
1320	GO:0036211,GO:0055086,GO:0034220,GO:0022900,GO:0071702,GO:0016053,GO:0006457,GO:0010337
1321	GO:0090407,GO:0055086,GO:0071702,GO:0006950,GO:1901605,GO:0044085,GO:0009056,GO:0036211,GO:0006996,GO:0048519,GO:0006508,GO:0022900,GO:0032259,GO:0019684,GO:0033036,GO:0009559,GO:0006457,GO:0006396,GO:0034220
1322	GO:0065009,GO:0006468,GO:0036211,GO:0009056,GO:0034220,GO:0005996,GO:0006950,GO:0006996,GO:0055086,GO:0007017,GO:0071702,GO:0006629,GO:0033036,GO:0090407,GO:1901605,GO:0048519,GO:0010256
1323	GO:0036211,GO:0006629,GO:0071554,GO:0007017,GO:0006396,GO:0072344,GO:0032774,GO:0051510,GO:0065009,GO:0006950,GO:0009914,GO:0044085,GO:0006508,GO:0006109,GO:0035556,GO:0006996
1324	GO:0006396,GO:0043414,GO:0009451,GO:0022613,GO:0042221,GO:0033036,GO:0006508,GO:0070647,GO:0036211,GO:0006629,GO:0009056,GO:0055080,GO:0071702,GO:0006468,GO:0016053,GO:0006996,GO:0044085,GO:1903311,GO:0065009,GO:0032787,GO:0009812,GO:0055088,GO:0051174,GO:0050776,GO:0044419,GO:0009607,GO:0009605,GO:0042939,GO:0042886,GO:0005982,GO:0032259,GO:0006950,GO:0032774,GO:0044248,GO:0032502
1325	GO:0036211,GO:0009056,GO:0006260,GO:0006950,GO:0023051,GO:0009451,GO:0048519,GO:0071702,GO:1901575,GO:0034220,GO:0072348,GO:0035556,GO:0009791,GO:0006996,GO:0009657,GO:0044085,GO:0042908,GO:0016053,GO:0019919,GO:0006508,GO:0032259,GO:0009208,GO:0006629
1326	GO:0006629,GO:1902221,GO:0006508,GO:0036211,GO:0009056,GO:0048519,GO:1901361,GO:0044265,GO:0007017,GO:0071702,GO:0032774
1327	GO:0006950,GO:0044085,GO:0009620,GO:0055086,GO:0042221,GO:0071702,GO:0036211,GO:0006414,GO:0006508,GO:0048518,GO:0006457,GO:1901575,GO:0044248,GO:0006325,GO:0006996,GO:0048583,GO:0009056,GO:0006396,GO:0016053,GO:0032787,GO:0072330
1328	GO:0044085,GO:0036211,GO:0009056,GO:0071702,GO:0006950,GO:0006790,GO:0015074,GO:0055086,GO:0046368,GO:0044262,GO:0018193,GO:0006396,GO:0006820,GO:0032502,GO:0006457
