Gene	Gene Category
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0017518	protein-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0018015	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019215	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
OG0019457	protein and non-coding
