Genotypes	Groups	Class	Sequences
10	0	hard-core	0
10	2489831	exclusive	0
10	916257	pan	1342508
10	916248	accessory	1342286
10	0	soft-core	0
10	1	hard-core	37
10	2490931	exclusive	0
10	1234334	pan	2032718
10	1234310	accessory	2032096
10	0	soft-core	0
10	2	hard-core	52
10	2172854	exclusive	0
10	1012390	pan	1601567
10	1012368	accessory	1600926
10	0	soft-core	0
10	5	hard-core	137
10	2394798	exclusive	0
10	1289747	pan	2126611
10	1289728	accessory	2126145
10	0	soft-core	0
10	2	hard-core	59
10	2117441	exclusive	0
10	875137	pan	1347593
10	875127	accessory	1347338
10	0	soft-core	0
10	1	hard-core	29
10	2532051	exclusive	0
10	894100	pan	1386017
10	894077	accessory	1385535
10	0	soft-core	0
10	3	hard-core	90
10	2513088	exclusive	0
10	1252150	pan	2071535
10	1252133	accessory	2071154
10	0	soft-core	0
10	2	hard-core	50
10	2155038	exclusive	0
10	1154307	pan	1851936
10	1154292	accessory	1851582
10	0	soft-core	0
10	2	hard-core	64
10	2252881	exclusive	0
10	1106073	pan	1747575
10	1106063	accessory	1747368
10	0	soft-core	0
10	1	hard-core	22
10	2301115	exclusive	0
10	1046561	pan	1666415
10	1046544	accessory	1666099
10	0	soft-core	0
10	1	hard-core	29
10	2360627	exclusive	0
11	1012969	pan	1569818
11	1012959	accessory	1569513
11	9	soft-core	259
11	1	hard-core	46
11	2394219	exclusive	0
11	1548028	pan	2632356
11	1548018	accessory	2632057
11	10	soft-core	299
11	0	hard-core	0
11	1859160	exclusive	0
11	1203699	pan	1886324
11	1203687	accessory	1885998
11	12	soft-core	326
11	0	hard-core	0
11	2203489	exclusive	0
11	1331881	pan	2163174
11	1331844	accessory	2162174
11	31	soft-core	830
11	6	hard-core	170
11	2075307	exclusive	0
11	1140852	pan	1763400
11	1140844	accessory	1763203
11	7	soft-core	173
11	1	hard-core	24
11	2266336	exclusive	0
11	1152407	pan	1802587
11	1152394	accessory	1802245
11	7	soft-core	152
11	6	hard-core	190
11	2254781	exclusive	0
11	1247601	pan	2041617
11	1247575	accessory	2040811
11	20	soft-core	594
11	6	hard-core	212
11	2159587	exclusive	0
11	1205908	pan	1948643
11	1205882	accessory	1947846
11	26	soft-core	797
11	0	hard-core	0
11	2201280	exclusive	0
11	1430691	pan	2367996
11	1430675	accessory	2367526
11	14	soft-core	424
11	2	hard-core	46
11	1976497	exclusive	0
11	1318430	pan	2131358
11	1318395	accessory	2130410
11	26	soft-core	639
11	9	hard-core	309
11	2088758	exclusive	0
11	1190186	pan	1913975
11	1190181	accessory	1913823
11	4	soft-core	118
11	1	hard-core	34
11	2217002	exclusive	0
11	1289466	pan	2071858
11	1289450	accessory	2071424
11	13	soft-core	344
11	3	hard-core	90
11	2117722	exclusive	0
11	1133109	pan	1802053
11	1133100	accessory	1801867
11	9	soft-core	186
11	0	hard-core	0
11	2274079	exclusive	0
11	946203	pan	1479615
11	946200	accessory	1479521
11	3	soft-core	94
11	0	hard-core	0
11	2460985	exclusive	0
11	970424	pan	1483098
11	970415	accessory	1482852
11	7	soft-core	178
11	2	hard-core	68
11	2436764	exclusive	0
