NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
63116	192190	accessory	7	8
514527	638638	exclusive	7	8
918064	1381732	pan	7	9
16	281	hard-core	7	9
90	1387	soft-core	7	9
92472	295327	accessory	7	9
825502	1085018	exclusive	7	9
589940	847329	pan	7	10
15	251	hard-core	7	10
66	965	soft-core	7	10
61136	185658	accessory	7	10
528738	660706	exclusive	7	10
873756	1312620	pan	7	11
14	268	hard-core	7	11
98	1343	soft-core	7	11
90639	291342	accessory	7	11
783019	1019935	exclusive	7	11
649490	957307	pan	7	12
11	206	hard-core	7	12
80	1109	soft-core	7	12
81627	260024	accessory	7	12
567783	696174	exclusive	7	12
632523	897177	pan	7	13
15	250	hard-core	7	13
71	994	soft-core	7	13
65398	198705	accessory	7	13
567054	697478	exclusive	7	13
921035	1388390	pan	7	14
13	182	hard-core	7	14
81	1128	soft-core	7	14
92398	295671	accessory	7	14
828556	1091591	exclusive	7	14
1044343	1643002	pan	7	15
29	574	hard-core	7	15
159	2443	soft-core	7	15
133801	455734	accessory	7	15
910383	1184825	exclusive	7	15
635178	912285	pan	7	16
4	64	hard-core	7	16
44	584	soft-core	7	16
64212	198426	accessory	7	16
570922	713275	exclusive	7	16
960414	1480040	pan	7	17
15	330	hard-core	7	17
90	1299	soft-core	7	17
107459	354884	accessory	7	17
852865	1123857	exclusive	7	17
674762	967671	pan	7	18
15	293	hard-core	7	18
60	895	soft-core	7	18
63864	193749	accessory	7	18
610838	773027	exclusive	7	18
532669	760753	pan	7	19
4	51	hard-core	7	19
52	748	soft-core	7	19
58305	180216	accessory	7	19
474312	579789	exclusive	7	19
970398	1484799	pan	8	0
4	88	hard-core	8	0
42	733	soft-core	8	0
133197	436572	accessory	8	0
837159	1047494	exclusive	8	0
887448	1335641	pan	8	1
4	79	hard-core	8	1
30	533	soft-core	8	1
88891	285510	accessory	8	1
798527	1049598	exclusive	8	1
1079831	1673779	pan	8	2
6	123	hard-core	8	2
30	537	soft-core	8	2
137527	457306	accessory	8	2
942274	1215936	exclusive	8	2
1163676	1871181	pan	8	3
15	393	hard-core	8	3
79	1434	soft-core	8	3
176608	606415	accessory	8	3
986989	1263332	exclusive	8	3
1097667	1777367	pan	8	4
18	338	hard-core	8	4
487	8836	soft-core	8	4
159183	552718	accessory	8	4
937997	1215813	exclusive	8	4
897221	1354718	pan	8	5
4	72	hard-core	8	5
13	211	soft-core	8	5
87085	280588	accessory	8	5
810123	1073919	exclusive	8	5
1070655	1653600	pan	8	6
5	79	hard-core	8	6
43	702	soft-core	8	6
133229	437464	accessory	8	6
937383	1215434	exclusive	8	6
705158	1034499	pan	8	7
3	76	hard-core	8	7
24	423	soft-core	8	7
79812	254431	accessory	8	7
625322	779645	exclusive	8	7
1248157	2040601	pan	8	8
11	248	hard-core	8	8
63	1097	soft-core	8	8
202412	707437	accessory	8	8
1045682	1332067	exclusive	8	8
909842	1372489	pan	8	9
10	166	hard-core	8	9
52	907	soft-core	8	9
96506	304794	accessory	8	9
813284	1066788	exclusive	8	9
717403	1029666	pan	8	10
4	128	hard-core	8	10
34	641	soft-core	8	10
78715	240429	accessory	8	10
638654	788596	exclusive	8	10
831386	1206187	pan	8	11
6	107	hard-core	8	11
26	377	soft-core	8	11
92896	286974	accessory	8	11
738464	918836	exclusive	8	11
633400	869117	pan	8	12
3	58	hard-core	8	12
18	272	soft-core	8	12
57913	167982	accessory	8	12
575469	700863	exclusive	8	12
715023	1016462	pan	8	13
2	33	hard-core	8	13
15	226	soft-core	8	13
72181	215490	accessory	8	13
642827	800746	exclusive	8	13
1129607	1844065	pan	8	14
5	119	hard-core	8	14
63	1126	soft-core	8	14
168339	594123	accessory	8	14
961205	1248816	exclusive	8	14
764018	1095488	pan	8	15
6	132	hard-core	8	15
26	437	soft-core	8	15
92393	280306	accessory	8	15
671599	814745	exclusive	8	15
859643	1240789	pan	8	16
6	99	hard-core	8	16
52	837	soft-core	8	16
103029	311828	accessory	8	16
756562	928124	exclusive	8	16
847018	1309991	pan	8	17
3	45	hard-core	8	17
44	739	soft-core	8	17
123400	411711	accessory	8	17
723574	897541	exclusive	8	17
986591	1564226	pan	8	18
17	394	hard-core	8	18
80	1517	soft-core	8	18
138909	475443	accessory	8	18
847602	1087266	exclusive	8	18
717682	1005210	pan	8	19
4	76	hard-core	8	19
21	312	soft-core	8	19
72505	213201	accessory	8	19
645156	791697	exclusive	8	19
999366	1546442	pan	9	0
6	171	hard-core	9	0
32	681	soft-core	9	0
127995	417084	accessory	9	0
871339	1128677	exclusive	9	0
761835	1137010	pan	9	1
6	133	hard-core	9	1
24	489	soft-core	9	1
104078	323890	accessory	9	1
657733	812631	exclusive	9	1
1027229	1611096	pan	9	2
4	77	hard-core	9	2
33	750	soft-core	9	2
138452	460625	accessory	9	2
888744	1149721	exclusive	9	2
750161	1064674	pan	9	3
0	0	hard-core	9	3
8	135	soft-core	9	3
81131	241489	accessory	9	3
669022	823050	exclusive	9	3
1305327	2210727	pan	9	4
7	164	hard-core	9	4
28	582	soft-core	9	4
229342	825366	accessory	9	4
1075957	1384779	exclusive	9	4
