out.2.8_296	out.3.3_361 
out.5.8_11799	out.5.3_11457 
out.5.3_7159	out.5.8_7276 
out.2.8_305	out.2.3_300 
out.5.3_7158	out.5.8_7275 
out.5.8_11798	out.5.3_11456 
out.5.8_11792	out.5.3_11450 
out.5.8_11789	out.5.3_11447 
out.2.8_311	out.2.3_234 
out.2.8_311	out.3.3_436 
out.5.3_7152	out.5.8_7269 
out.2.8_315	out.2.3_267 
out.2.8_315	out.3.3_393 
out.5.8_11787	out.5.3_11445 
out.5.3_7149	out.5.8_5109 
out.2.8_323	out.2.3_264 
out.5.3_7147	out.5.8_7265 
out.5.8_11783	out.5.3_11442 
out.5.8_7075	out.5.3_11441 
out.5.8_11780	out.5.3_11439 
out.5.3_7142	out.5.8_7258 
out.5.8_11769	out.5.3_11429 
out.2.8_331	out.2.3_226 
out.5.3_7136	out.5.8_7252 
out.5.3_7132	out.5.8_7245 
out.2.8_336	out.2.3_386 
out.5.8_11766	out.5.3_11425 
out.5.8_11760	out.5.3_11421 
out.5.3_7129	out.5.8_5084 
out.5.8_11757	out.5.3_11419 
out.5.8_11753	out.5.3_11415 
out.5.8_11752	out.5.3_11414 
out.5.3_7124	out.5.8_7224 
out.5.8_7052	out.5.3_11407 
out.5.3_7119	out.5.8_7218 
out.5.3_7117	out.5.8_7215 
out.5.3_7114	out.5.8_7212 
out.5.3_7113	out.5.8_7210 
out.5.8_11735	out.5.3_11403 
out.5.3_7108	out.5.8_7203 
out.5.8_11734	out.5.3_11402 
out.5.8_11729	out.5.3_11400 
out.5.3_7104	out.5.8_7199 
out.2.8_377	out.2.3_208 
out.5.8_11723	out.5.3_11395 
out.5.8_11721	out.5.3_11393 
out.5.8_7036	out.5.3_11392 
out.5.3_7090	out.5.8_7180 
out.5.8_11220	out.5.3_10894 
out.5.3_7088	out.5.8_5058 
out.5.3_7086	out.5.8_14065 
out.5.3_7086	out.5.8_12044 
out.5.3_7085	out.5.8_5055 
out.5.3_7084	out.5.8_7176 
out.5.8_11214	out.5.3_10888 
out.5.8_11212	out.5.3_10886 
out.5.8_11182	out.5.3_10856 
out.5.8_11172	out.5.3_10846 
out.5.3_7064	out.5.8_7150 
out.5.8_11145	out.5.3_10819 
out.5.3_7061	out.5.8_11960 
out.5.3_7060	out.5.8_7146 
out.5.8_6809	out.5.3_10627 
out.5.3_7057	out.5.8_7143 
out.5.8_10927	out.5.3_10601 
out.5.8_10919	out.5.3_10593 
out.5.8_10916	out.5.3_10590 
out.5.3_7051	out.5.8_11932 
out.2.8_426	out.2.3_259 
out.5.8_10852	out.5.3_10529 
out.5.3_7041	out.5.8_3899 
out.5.3_7041	out.4.8_4984 
out.5.3_7041	out.3.8_9564 
out.5.3_7039	out.5.8_7124 
out.5.3_7038	out.5.8_13648 
out.5.3_7038	out.5.8_11884 
out.5.3_7038	out.4.8_4968 
out.2.8_435	out.2.3_328 
out.5.3_7036	out.5.8_7121 
out.5.8_10729	out.5.3_10410 
out.5.8_10622	out.5.3_10304 
out.5.3_7021	out.5.8_7101 
out.5.8_10563	out.5.3_10246 
out.5.8_10551	out.5.3_10235 
out.5.8_10511	out.5.3_10196 
out.5.3_7013	out.5.8_7091 
out.5.8_10476	out.5.3_10166 
out.5.8_10463	out.5.3_10153 
out.2.8_457	out.2.3_439 
out.5.3_7007	out.5.8_3888 
out.5.8_10395	out.5.3_10086 
out.5.8_10295	out.5.3_9990 
out.5.8_10225	out.5.3_9922 
out.5.8_10215	out.5.3_9912 
out.5.8_10192	out.5.3_9889 
out.5.8_10164	out.5.3_9861 
out.3.3_4628	out.2.8_2593 
out.5.3_6990	out.5.8_7069 
out.2.8_477	out.2.3_261 
out.5.8_10129	out.5.3_9827 
out.5.8_10122	out.5.3_9820 
out.5.3_6976	out.5.8_7051 
out.5.3_6975	out.5.8_11762 
out.5.3_6975	out.5.8_11737 
out.5.3_6973	out.5.8_4982 
out.5.3_6972	out.5.8_7043 
out.5.3_6968	out.5.8_7035 
out.5.3_6849	out.5.8_6914 
