out.3.8_1	out.1.3_1	out.3.3_1	out.2.8_1	out.2.3_1	out.1.8_1	out.4.3_1	out.4.8_21	out.5.3_20	out.5.8_21 
out.3.8_1	out.1.3_1	out.3.3_1	out.2.8_1	out.2.3_1	out.1.8_1	out.4.3_7	out.4.8_7	out.5.3_7	out.5.8_18 
out.5.8_21	out.5.3_20	out.4.8_8	out.4.3_8	out.3.8_8	out.3.3_8	out.2.8_8	out.2.3_8	out.1.8_8	out.1.3_8 
out.5.8_21	out.5.3_20	out.4.8_21	out.1.3_8	out.1.8_8	out.4.3_8	out.3.8_8	out.3.3_8	out.2.8_8	out.2.3_8 
out.5.8_21	out.5.3_8	out.4.8_8	out.4.3_8	out.1.3_8	out.3.8_8	out.1.8_8	out.3.3_8	out.2.8_8	out.2.3_8 
out.4.8_17	out.5.8_17	out.5.3_17	out.4.3_2	out.3.8_2	out.3.3_2	out.2.8_2	out.2.3_2	out.1.8_2	out.1.3_2 
out.4.8_17	out.5.8_17	out.5.3_17	out.4.3_16	out.3.8_2	out.3.3_2	out.2.8_2	out.2.3_2	out.1.8_2	out.1.3_2 
out.4.8_17	out.5.8_17	out.5.3_17	out.4.3_16	out.3.8_16	out.3.3_1	out.2.8_1	out.2.3_1	out.1.8_1	out.1.3_1 
out.4.8_17	out.5.8_17	out.5.3_17	out.4.3_16	out.3.8_16	out.3.3_2	out.1.3_2	out.2.8_2	out.2.3_2	out.1.8_2 
out.4.8_17	out.5.8_17	out.5.3_17	out.4.3_16	out.3.8_16	out.3.3_2	out.1.3_1	out.2.8_1	out.2.3_1	out.1.8_1 
out.4.8_17	out.5.8_17	out.5.3_17	out.4.3_16	out.3.8_16	out.3.3_2	out.1.3_1	out.2.8_2	out.1.8_2	out.2.3_2 
out.4.8_17	out.5.8_17	out.5.3_17	out.4.3_16	out.3.8_16	out.3.3_2	out.1.3_1	out.2.8_2	out.1.8_1	out.2.3_1 
out.4.8_17	out.5.8_17	out.5.3_17	out.4.3_16	out.3.8_16	out.3.3_2	out.1.3_1	out.2.8_2	out.1.8_1	out.2.3_2 
out.5.8_18	out.5.3_7	out.4.8_7	out.4.3_7	out.3.8_7	out.3.3_1	out.2.8_1	out.2.3_1	out.1.8_1	out.1.3_1 
out.5.8_18	out.5.3_7	out.4.8_7	out.4.3_7	out.3.8_7	out.3.3_7	out.2.8_1	out.2.3_1	out.1.8_1	out.1.3_1 
out.5.8_18	out.5.3_7	out.4.8_7	out.4.3_7	out.3.8_7	out.3.3_7	out.2.8_7	out.2.3_1	out.1.8_1	out.1.3_1 
out.5.8_18	out.5.3_7	out.4.8_7	out.4.3_7	out.3.8_7	out.3.3_7	out.2.8_7	out.2.3_7	out.1.8_1	out.1.3_1 
out.5.8_17	out.5.3_17	out.4.8_2	out.4.3_2	out.3.8_2	out.3.3_2	out.2.8_2	out.2.3_2	out.1.8_2	out.1.3_2 
out.5.8_17	out.5.3_2	out.4.8_2	out.4.3_2	out.3.8_2	out.3.3_2	out.2.8_2	out.2.3_2	out.1.8_2	out.1.3_2 
out.2.3_10	out.2.8_10	out.3.3_10	out.1.3_5	out.4.8_10	out.4.3_10	out.3.8_10	out.1.8_5	out.5.3_10	out.5.8_10 
out.2.3_10	out.2.8_10	out.3.3_10	out.1.8_10	out.1.3_10	out.5.8_10	out.4.8_10	out.4.3_10	out.3.8_10	out.5.3_10 
out.4.8_25	out.5.8_26	out.5.3_25	out.3.8_2	out.4.3_2	out.3.3_2	out.2.8_2	out.2.3_2	out.1.8_2	out.1.3_2 
