cluster_1	cluster_2	Jaccard	Overlap
out.5.8_25	out.1.3_3	0.0001426981363623391	0.18518518518518517
out.5.8_25	out.1.3_9	0.0018636171113934773	0.8148148148148148
out.5.8_26	out.1.3_2	0.0003699593044765076	0.5
out.5.8_26	out.1.3_9	0.001100482519258444	0.5
out.5.8_27	out.1.3_4	0.00047944384513963804	0.6956521739130435
out.5.8_27	out.1.3_8	0.0005700325732899023	0.30434782608695654
out.5.8_28	out.1.3_2	0.0004554382169593806	0.7619047619047619
out.5.8_28	out.1.3_6	0.0002302873986735446	0.23809523809523808
out.5.8_29	out.1.3_4	2.9961649089165866e-05	0.08333333333333333
out.5.8_29	out.1.3_5	0.00040343284676886966	0.9166666666666666
out.5.8_30	out.1.3_2	0.00017078446999886144	0.5
out.5.8_30	out.1.3_10	0.0005432322317790856	0.5
out.5.8_31	out.1.3_2	0.00019928258270227183	1.0
out.5.8_32	out.1.3_1	0.0001885674263240127	1.0
out.5.8_33	out.1.3_3	8.56677803478112e-05	0.6
out.5.8_33	out.1.3_6	9.217014608968155e-05	0.4
out.5.8_34	out.1.3_2	0.00014234470193019415	1.0
out.5.8_35	out.1.3_7	0.00018436578171091445	0.6
out.5.8_35	out.1.3_11	0.00019866891824774015	0.4
out.5.8_36	out.1.3_5	0.00011003117549972492	1.0
out.5.8_37	out.1.3_12	0.0006277463904582549	1.0
out.5.8_38	out.1.3_11	0.0002980922098569157	1.0
out.5.8_39	out.1.3_4	5.9943054098606324e-05	1.0
out.5.8_40	out.1.3_12	0.0004184975936388366	1.0
out.5.8_41	out.1.3_7	6.146281499692685e-05	1.0
out.5.8_42	out.1.3_10	9.058791557206268e-05	1.0
out.5.8_43	out.1.3_8	8.153946510110893e-05	1.0
out.5.8_1	out.1.8_1	0.9825576700492584	1.0
out.5.8_2	out.1.8_2	0.9903249672756246	0.9998276258331418
out.5.8_2	out.1.8_8	0.0001275944198707043	0.0004909180166912126
out.5.8_3	out.1.8_3	0.9906085864352592	1.0
out.5.8_4	out.1.8_4	0.9957462105326224	0.9993686299269414
out.5.8_4	out.1.8_9	0.0004663557628247835	0.0017811704834605599
out.5.8_5	out.1.8_1	1.555790652809758e-05	3.686500036865e-05
out.5.8_5	out.1.8_3	1.608829254951172e-05	3.686500036865e-05
out.5.8_5	out.1.8_5	0.9945365209738927	0.999889404998894
out.5.8_5	out.1.8_6	2.048131080389145e-05	4.608294930875576e-05
out.5.8_6	out.1.8_6	0.9990324809951624	0.9997694683941168
out.5.8_6	out.1.8_12	0.0001890073334845392	0.0010482180293501049
out.5.8_7	out.1.8_3	0.00031241457413988365	0.0009877762686751452
out.5.8_7	out.1.8_4	0.00016144981937801458	0.0004938881343375726
out.5.8_7	out.1.8_7	0.9912307597964064	0.9979009754290653
out.5.8_7	out.1.8_8	0.00021116351094530866	0.0004909180166912126
out.5.8_7	out.1.8_9	0.0001429388221841052	0.00033927056827820186
out.5.8_8	out.1.8_8	0.993782213859118	0.9999176819229503
out.5.8_8	out.1.8_11	4.502273648192337e-05	9.936406995230525e-05
out.5.8_9	out.1.8_1	6.13195977434388e-05	0.0002547554347826087
out.5.8_9	out.1.8_8	0.001502378766380102	0.0030570652173913045
out.5.8_9	out.1.8_9	0.992222504015555	0.996688179347826
out.5.8_10	out.1.8_1	2.074129384190986e-05	9.039139473922083e-05
out.5.8_10	out.1.8_3	4.339053652398412e-05	0.00018078278947844165
out.5.8_10	out.1.8_5	0.000469802161089941	0.0016270451053059748
out.5.8_10	out.1.8_6	0.00012210384932384994	0.0003615655789568833
out.5.8_10	out.1.8_10	0.9965672990063233	0.9993658845909955
out.5.8_10	out.1.8_11	0.0002840774584536717	0.0005961844197138314
out.5.8_11	out.1.8_1	2.1199465773462508e-05	9.979044007584074e-05
out.5.8_11	out.1.8_3	2.2196572849152092e-05	9.979044007584074e-05
out.5.8_11	out.1.8_11	0.9953308166103716	0.9998004191198483
out.5.8_12	out.1.8_12	0.9985324947589098	1.0
out.5.8_13	out.1.8_1	0.009522016300400785	0.9315789473684211
out.5.8_13	out.1.8_3	0.0007347538574577516	0.06842105263157895
out.5.8_14	out.1.8_3	0.006328211852569767	0.8191881918819188
out.5.8_14	out.1.8_4	0.0014590715540600898	0.18081180811808117
out.5.8_15	out.1.8_1	0.005486230636833046	0.8607594936708861
out.5.8_15	out.1.8_4	0.0009831669894235066	0.13924050632911392
out.5.8_16	out.1.8_2	0.0005106527844761554	0.13740458015267176
out.5.8_16	out.1.8_5	0.004141166123062264	0.8625954198473282
